"marker","count"
"CCR2","1"
"CD14","2"
"CD16","2"
"CD36","1"
"CD4","1"
"CD61","1"
"CD9","1"
"CX3CR1","2"
"FCGR3A","4"
"HES4","1"
"HLA-DR","1"
"LYN","1"
"LYZ","3"
"MS4A7","1"
"MTSS1","1"
"NR4A1","1"
"Slan","1"
"TCF7L2","1"
