"marker","count"
"CAVIN2","1"
"CCL5","1"
"CD14","1"
"CD15","1"
"CD33","1"
"CD34","2"
"CD41","3"
"CD41A","4"
"CD42","1"
"CD42a","1"
"CD61","4"
"CD79A","1"
"FLI1","1"
"GNG11","1"
"GP9","2"
"ITGA2B","3"
"MYL9","2"
"NRGN","1"
"PF4","5"
"PIG6B","1"
"PPBP","10"
"SPARC","1"
"TUBB1","2"
